Sample,X,Y,Z,Label
560,-0.18,0.19,1.16,V
561,-0.17,-0.08,1.09,V
562,-0.08,0.08,0.93,V
563,0.03,0.14,0.66,V
564,-0.06,0.12,0.88,V
565,-0.25,0.17,1.18,V
566,-0.11,0.05,1.05,V
567,-0.02,-0.02,0.76,V
568,-0.07,-0.1,0.9,V
569,-0.1,-0.05,0.95,V
570,-0.19,-0.04,1.1,V
571,-0.04,0.05,0.77,V
572,-0.02,0.09,0.67,V
573,-0.11,0.06,1.14,V
574,-0.19,-0.02,1.25,V
575,-0.11,-0.13,0.93,V
576,0.1,-0.01,0.6,V
577,-0.15,-0.02,1.09,V
578,-0.19,0.02,1.14,V
579,-0.11,0.04,1.05,V
580,-0.04,0.06,0.74,V
581,-0.13,0.05,0.82,V
582,-0.15,0.09,1.02,V
583,-0.18,0.09,1.11,V
584,-0.05,-0.04,0.83,V
585,-0.02,-0.04,0.71,V
586,-0.15,0.0,1.15,V
587,-0.19,-0.07,1.17,V
588,-0.15,0.07,1.03,V
589,-0.06,0.06,0.79,V
590,-0.14,0.03,0.83,V
591,-0.17,0.02,0.99,V
592,-0.11,0.01,1.06,V
593,-0.01,-0.19,0.73,V
594,-0.06,-0.09,0.75,V
595,-0.19,0.04,1.13,V
596,-0.16,0.02,1.05,V
597,-0.13,0.12,0.92,V
598,-0.04,0.12,0.74,V
599,-0.18,0.19,1.03,V
600,-0.22,0.13,1.02,V
601,-0.12,0.02,1.02,V
602,-0.03,-0.04,0.76,V
603,-0.08,-0.11,0.79,V
604,-0.2,0.1,1.15,V
605,-0.2,0.0,1.02,V
606,-0.14,0.19,0.93,V
607,-0.1,0.16,0.81,V
608,-0.13,0.05,0.9,V
609,-0.23,0.11,1.22,V
610,-0.11,-0.03,0.93,V
611,0.02,-0.11,0.72,V
612,-0.08,0.05,0.8,V
613,-0.21,0.14,1.15,V
614,-0.16,0.13,0.93,V
615,-0.11,0.23,0.86,V
616,-0.13,0.14,0.74,V
617,-0.06,0.01,0.91,V
618,-0.08,0.01,1.0,V
619,-0.05,-0.08,0.79,V
620,-0.06,-0.18,0.59,V
621,-0.2,0.2,1.17,V
622,-0.15,0.06,1.1,V
623,-0.09,0.23,0.68,V
624,-0.1,0.22,0.77,V
625,-0.19,0.25,1.18,V
626,-0.1,0.19,1.09,V
627,-0.05,-0.08,0.7,V
628,0.01,-0.12,0.69,V
629,-0.16,0.18,1.2,V
630,-0.16,0.09,1.11,V
631,-0.09,0.11,0.8,V
632,-0.03,0.12,0.68,V
633,-0.17,0.15,1.1,V
634,-0.24,0.12,1.26,V
635,-0.03,-0.04,0.8,V
636,-0.03,-0.1,0.67,V
637,-0.13,0.07,1.05,V
