X,Y,Z,Label
122,137,994,Z
133,124,998,Z
130,107,991,Z
142,81,1001,Z
126,63,982,Z
130,43,983,Z
127,40,967,Z
137,43,981,Z
137,33,972,Z
142,10,960,Z
149,-14,970,Z
146,-45,968,Z
167,-78,972,Z
181,-130,963,Z
192,-171,936,Z
185,-224,933,Z
180,-251,942,Z
173,-258,968,Z
163,-273,991,Z
160,-276,1020,Z
169,-280,1027,Z
173,-295,1049,Z
188,-292,1043,Z
176,-272,1022,Z
179,-286,1040,Z
192,-301,1033,Z
183,-315,962,Z
184,-295,920,Z
166,-260,920,Z
157,-235,926,Z
138,-189,984,Z
124,-161,1025,Z
119,-158,1054,Z
128,-175,1044,Z
132,-182,1007,Z
102,-186,961,Z
112,-169,914,Z
104,-138,903,Z
99,-96,895,Z
100,-30,879,Z
123,41,835,Z
142,131,808,Z
171,171,830,Z
197,206,874,Z
193,258,897,Z
235,310,905,Z
273,338,905,Z
298,395,887,Z
312,444,911,Z
341,494,949,Z
349,580,960,Z
374,677,992,Z
384,757,981,Z
363,838,945,Z
351,924,953,Z
322,926,952,Z
292,912,967,Z
283,887,980,Z
279,850,962,Z
279,814,930,Z
275,793,922,Z
285,783,884,Z
279,806,853,Z
267,825,824,Z
253,858,830,Z
218,871,827,Z
202,850,855,Z
217,807,852,Z
208,761,833,Z
216,697,814,Z
230,634,800,Z
236,606,789,Z
246,569,822,Z
242,555,796,Z
221,597,768,Z
206,611,756,Z
229,625,775,Z
243,636,776,Z
276,611,823,Z
281,584,832,Z
286,545,784,Z
276,528,737,Z
266,546,704,Z
271,560,691,Z
314,556,728,Z
321,508,778,Z
320,463,833,Z
328,427,856,Z
323,366,907,Z
332,314,946,Z
324,267,966,Z
322,264,962,Z
330,231,980,Z
340,188,981,Z
382,146,981,Z
395,69,994,Z
357,21,972,Z
329,-5,935,Z
289,-30,931,Z
300,-44,915,Z
323,-40,869,Z
373,-47,852,Z
414,-89,916,Z
430,-170,1022,Z
434,-235,1118,Z
366,-273,1143,Z
334,-288,1194,Z
308,-286,1215,Z
307,-265,1229,Z
334,-249,1214,Z
372,-250,1187,Z
383,-264,1192,Z
388,-285,1196,Z
366,-291,1229,Z
358,-265,1224,Z
325,-216,1214,Z
311,-156,1179,Z
321,-114,1138,Z
337,-39,1070,Z
346,-4,1000,Z
374,4,972,Z
376,12,943,Z
373,-19,931,Z
356,-35,927,Z
346,-57,931,Z
339,-87,904,Z
364,-115,933,Z
397,-161,973,Z
417,-214,1035,Z
436,-236,1092,Z
435,-263,1090,Z
434,-278,1115,Z
442,-300,1129,Z
461,-325,1135,Z
472,-342,1143,Z
500,-349,1137,Z
512,-344,1149,Z
526,-337,1152,Z
533,-338,1153,Z
546,-334,1147,Z
531,-340,1174,Z
507,-365,1211,Z
518,-400,1244,Z
523,-403,1247,Z
518,-404,1227,Z
542,-375,1179,Z
560,-358,1168,Z
578,-328,1192,Z
599,-304,1216,Z
618,-284,1230,Z
620,-285,1264,Z
668,-271,1276,Z
681,-193,1218,Z
659,-106,1182,Z
659,2,1160,Z
652,100,1110,Z
664,214,1045,Z
620,295,964,Z
599,366,907,Z
582,432,832,Z
544,514,744,Z
550,543,729,Z
618,559,701,Z
644,617,694,Z
662,714,683,Z
618,849,677,Z
550,972,720,Z
508,1047,732,Z
469,1089,733,Z
454,1063,763,Z
477,1031,730,Z
473,968,708,Z
510,935,698,Z
491,912,697,Z
433,922,775,Z
349,907,822,Z
334,867,883,Z
257,847,903,Z
216,798,897,Z
226,715,905,Z
209,613,905,Z
199,528,874,Z
168,470,847,Z
162,419,851,Z
152,406,849,Z
128,388,860,Z
104,374,898,Z
83,371,919,Z
83,336,905,Z
95,273,925,Z
85,220,906,Z
81,179,901,Z
90,162,910,Z
88,156,906,Z
70,166,906,Z
89,157,937,Z
97,141,971,Z
116,122,990,Z
123,100,1002,Z
113,111,998,Z
109,120,996,Z
112,149,1024,Z
101,172,1027,Z
113,185,1028,Z
108,203,984,Z
117,210,947,Z
122,208,919,Z
123,195,940,Z
137,191,951,Z
141,178,962,Z
137,177,986,Z
144,170,979,Z
138,185,978,Z
126,198,963,Z
137,222,967,Z
149,252,949,Z
142,262,959,Z
150,234,971,Z
149,199,982,Z
146,186,993,Z
141,176,986,Z
140,189,981,Z
148,201,981,Z
137,232,977,Z
146,256,971,Z
153,258,971,Z
154,254,954,Z
145,258,936,Z
147,247,934,Z
146,229,938,Z
153,222,952,Z
152,217,958,Z
149,219,941,Z
164,239,939,Z
143,262,934,Z
139,266,963,Z
147,279,984,Z
164,274,997,Z
161,278,985,Z
171,278,975,Z
178,279,980,Z
189,280,965,Z
189,302,982,Z
200,332,959,Z
217,377,959,Z
227,421,956,Z
208,444,982,Z
205,470,974,Z
219,485,994,Z
222,503,996,Z
212,-114,915,Z
218,-161,929,Z
209,-214,927,Z
216,-241,976,Z
205,-255,1002,Z
202,-265,1063,Z
205,-299,1089,Z
204,-318,1096,Z
218,-323,1123,Z
220,-342,1085,Z
211,-338,1069,Z
210,-342,1051,Z
201,-334,1016,Z
202,-331,1005,Z
201,-290,957,Z
217,-321,951,Z
208,-294,945,Z
195,-255,941,Z
207,-227,955,Z
199,-163,1005,Z
191,-97,1027,Z
195,-45,1017,Z
205,-4,997,Z
220,32,936,Z
250,49,826,Z
263,47,791,Z
257,59,766,Z
235,95,743,Z
250,144,759,Z
246,227,830,Z
223,281,901,Z
222,332,931,Z
231,363,944,Z
240,391,932,Z
255,412,897,Z
258,428,842,Z
263,424,850,Z
249,430,861,Z
258,422,879,Z
261,418,907,Z
241,454,938,Z
225,476,988,Z
216,492,1048,Z
217,515,1078,Z
218,535,1054,Z
252,527,1022,Z
278,544,931,Z
272,565,829,Z
261,608,769,Z
270,621,728,Z
275,641,735,Z
267,674,776,Z
267,707,841,Z
288,714,906,Z
317,724,933,Z
332,736,912,Z
357,734,846,Z
353,769,828,Z
348,797,799,Z
351,810,770,Z
339,815,783,Z
342,823,786,Z
321,807,821,Z
316,744,850,Z
332,693,850,Z
325,637,847,Z
329,604,849,Z
324,580,835,Z
323,568,805,Z
318,586,804,Z
325,587,810,Z
316,579,822,Z
292,540,819,Z
280,535,784,Z
251,525,799,Z
263,498,805,Z
248,496,793,Z
257,468,784,Z
254,461,776,Z
275,462,739,Z
307,426,732,Z
279,401,763,Z
276,375,770,Z
269,365,764,Z
239,379,713,Z
236,381,687,Z
234,389,654,Z
237,404,673,Z
288,373,736,Z
300,304,784,Z
277,252,776,Z
251,217,758,Z
250,167,743,Z
320,138,746,Z
353,64,815,Z
401,28,918,Z
415,-20,986,Z
394,-50,1076,Z
339,-61,1145,Z
313,-58,1175,Z
321,-19,1150,Z
360,3,1115,Z
410,-11,1107,Z
433,-30,1132,Z
446,-60,1150,Z
460,-112,1191,Z
436,-150,1219,Z
415,-158,1245,Z
415,-160,1236,Z
424,-125,1208,Z
457,-117,1214,Z
486,-122,1208,Z
501,-149,1236,Z
