X,Y,Z,Label
156,225,791,V
173,258,825,V
197,267,872,V
212,272,894,V
219,259,917,V
190,248,883,V
151,249,856,V
123,281,800,V
119,280,782,V
131,285,780,V
135,271,798,V
144,244,848,V
134,220,876,V
115,176,890,V
112,172,852,V
127,155,843,V
142,141,872,V
159,157,871,V
175,163,862,V
176,185,878,V
182,224,870,V
216,255,851,V
247,267,848,V
264,239,897,V
283,204,943,V
285,144,983,V
273,119,952,V
268,115,915,V
283,153,833,V
328,209,831,V
405,234,904,V
441,232,981,V
447,213,1066,V
461,205,1066,V
444,202,1005,V
454,223,955,V
529,259,882,V
553,282,885,V
615,296,923,V
644,254,1008,V
631,261,1118,V
626,242,1207,V
649,206,1255,V
639,198,1262,V
641,185,1214,V
638,188,1193,V
646,177,1204,V
659,151,1152,V
653,158,1151,V
639,149,1187,V
636,161,1165,V
625,164,1123,V
611,185,1056,V
608,212,1035,V
600,199,999,V
592,199,969,V
567,188,926,V
543,181,927,V
522,172,921,V
508,184,908,V
520,207,904,V
518,231,907,V
532,244,916,V
542,238,904,V
525,223,921,V
540,229,898,V
537,239,878,V
536,239,879,V
559,253,879,V
555,254,912,V
551,276,907,V
549,290,914,V
553,306,907,V
553,310,895,V
560,314,880,V
558,315,883,V
553,311,888,V
530,313,869,V
530,327,882,V
540,331,890,V
531,337,939,V
532,318,945,V
514,321,950,V
513,330,961,V
524,336,940,V
516,355,945,V
524,370,942,V
525,380,935,V
523,396,931,V
537,385,932,V
535,375,937,V
524,369,938,V
511,329,922,V
504,323,951,V
493,313,957,V
503,314,979,V
504,326,1002,V
510,317,1035,V
500,295,1057,V
508,279,1077,V
506,240,1071,V
509,235,1088,V
509,222,1081,V
491,220,1062,V
483,225,1026,V
473,221,1017,V
484,211,1039,V
485,211,1045,V
468,203,1049,V
455,203,1015,V
453,189,1014,V
450,176,975,V
451,154,980,V
437,129,1018,V
425,101,1025,V
420,114,1001,V
405,84,994,V
404,85,964,V
404,97,939,V
390,99,938,V
362,116,917,V
352,113,901,V
344,107,859,V
326,48,904,V
299,4,932,V
308,-52,937,V
285,-103,967,V
275,-107,971,V
305,-43,965,V
319,19,949,V
344,109,924,V
367,166,853,V
362,186,794,V
335,152,788,V
295,71,801,V
249,-85,842,V
204,-183,878,V
177,-224,917,V
207,-204,901,V
243,-123,862,V
297,-13,847,V
321,44,822,V
330,42,806,V
310,44,722,V
280,-49,701,V
206,-179,730,V
151,-261,707,V
125,-305,764,V
153,-267,752,V
185,-189,749,V
218,-123,748,V
227,-74,714,V
202,-66,693,V
150,-108,706,V
121,-145,688,V
95,-183,731,V
65,-208,777,V
63,-235,828,V
69,-227,879,V
113,-180,900,V
127,-156,909,V
146,-121,901,V
137,-129,896,V
130,-148,923,V
144,-170,937,V
144,-170,952,V
161,-165,976,V
172,-148,1012,V
177,-115,1008,V
203,-96,1006,V
215,-78,1031,V
223,-63,980,V
231,-68,974,V
213,-75,979,V
197,-74,996,V
192,-76,995,V
195,-87,994,V
195,-75,1007,V
200,-72,1001,V
222,-66,1007,V
211,-66,1012,V
221,-74,1008,V
216,-62,1018,V
210,-93,1010,V
201,-110,1035,V
211,-106,1027,V
198,-120,1038,V
193,-119,1027,V
212,-113,1001,V
207,-115,1007,V
107,244,987,V
107,231,998,V
79,228,990,V
77,248,964,V
69,259,964,V
69,295,953,V
79,305,956,V
65,290,976,V
62,257,977,V
45,241,941,V
34,201,968,V
44,207,976,V
51,250,934,V
70,267,936,V
87,261,923,V
99,260,915,V
93,238,931,V
97,204,955,V
79,151,977,V
74,128,989,V
53,116,955,V
57,136,931,V
65,162,911,V
78,186,872,V
76,191,833,V
68,190,828,V
74,170,840,V
46,147,837,V
44,133,816,V
53,125,817,V
55,121,834,V
71,113,834,V
64,114,784,V
74,145,734,V
82,170,719,V
102,202,736,V
120,201,742,V
121,196,714,V
112,186,727,V
107,180,738,V
135,184,721,V
143,177,736,V
170,141,763,V
165,121,784,V
165,109,808,V
141,93,812,V
134,94,829,V
129,86,804,V
125,83,794,V
150,103,790,V
178,123,791,V
214,109,845,V
230,126,895,V
233,134,919,V
226,115,917,V
228,121,901,V
216,154,847,V
247,203,768,V
